query_number,query,intent_number,action,target,intent_text,rank,tool_name,score,score_retention,next_score,gap,cliff_percentage
1,Send an email to Tom,1,send,an email,Send an email to Tom,41,office_word_mcp_server_api_delete_document,0.439453125,61.81318681318682,0.439453125,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,42,office_word_mcp_server_api_delete_paragraph,0.439453125,61.81318681318682,0.435546875,0.00390625,0.5494505494505495
1,Send an email to Tom,1,send,an email,Send an email to Tom,43,office_word_mcp_server_api_get_document_info,0.435546875,61.26373626373627,0.43359375,0.001953125,0.27472527472527475
1,Send an email to Tom,1,send,an email,Send an email to Tom,44,railway_tools_project_delete,0.43359375,60.98901098901099,0.431640625,0.001953125,0.27472527472527475
1,Send an email to Tom,1,send,an email,Send an email to Tom,45,railway_tools_service_restart,0.431640625,60.71428571428571,0.427734375,0.00390625,0.5494505494505495
1,Send an email to Tom,1,send,an email,Send an email to Tom,46,railway_tools_service_create_from_repo,0.427734375,60.16483516483516,0.427734375,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,47,carrot_mcp_server_api_hr_dashboard_summary,0.427734375,60.16483516483516,0.423828125,0.00390625,0.5494505494505495
1,Send an email to Tom,1,send,an email,Send an email to Tom,48,railway_tools_service_info,0.423828125,59.61538461538461,0.423828125,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,49,supabase_mcp_insert_table_data,0.423828125,59.61538461538461,0.419921875,0.00390625,0.5494505494505495
1,Send an email to Tom,1,send,an email,Send an email to Tom,50,github_mcp_server_create_or_update_file,0.419921875,59.065934065934066,0.419921875,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,51,project_management_tools_create_team,0.419921875,59.065934065934066,0.41796875,0.001953125,0.27472527472527475
1,Send an email to Tom,1,send,an email,Send an email to Tom,52,railway_tools_database_list_types,0.41796875,58.791208791208796,0.41796875,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,53,carrot_mcp_server_api_log_hours_entry,0.41796875,58.791208791208796,0.41796875,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,54,carrot_mcp_server_api_update_leave_application,0.41796875,58.791208791208796,0.41796875,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,55,office_word_mcp_server_api_merge_doucments,0.41796875,58.791208791208796,0.41796875,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,56,project_management_tools_list_work_items,0.41796875,58.791208791208796,0.416015625,0.001953125,0.27472527472527475
1,Send an email to Tom,1,send,an email,Send an email to Tom,57,supabase_mcp_update_database_table_data,0.416015625,58.51648351648352,0.416015625,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,58,project_management_tools_create_work_item,0.416015625,58.51648351648352,0.412109375,0.00390625,0.5494505494505495
1,Send an email to Tom,1,send,an email,Send an email to Tom,59,quest_studio_file_storage_get_storage_usage,0.412109375,57.96703296703297,0.41015625,0.001953125,0.27472527472527475
1,Send an email to Tom,1,send,an email,Send an email to Tom,60,project_management_tools_create_sprint,0.41015625,57.692307692307686,0.408203125,0.001953125,0.27472527472527475
1,Send an email to Tom,1,send,an email,Send an email to Tom,61,project_management_tools_list_sprints,0.408203125,57.417582417582416,0.408203125,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,62,github_mcp_server_create_repository,0.408203125,57.417582417582416,0.408203125,0.0,0.0
