query_number,query,intent_number,action,target,intent_text,peak_score,rank,tool_name,score,score_retention,gap,relative_gradient,history_count,historical_median_gap,progressive_strength
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,36,railway_tools_project_create,0.44140625,62.08791208791209,0.0,0.0,26,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,37,carrot_mcp_server_api_list_employees,0.44140625,62.08791208791209,0.0,0.0,26,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,38,office_word_mcp_server_api_get_document_outline,0.44140625,62.08791208791209,0.0,0.0,26,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,39,office_word_mcp_server_api_get_document_xml,0.44140625,62.08791208791209,0.001953125,0.27472527472527475,26,0.0068359375,0.2857142857142857
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,40,office_word_mcp_server_api_get_paragraph_text_from_document,0.439453125,61.81318681318682,0.0,0.0,27,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,41,office_word_mcp_server_api_delete_document,0.439453125,61.81318681318682,0.0,0.0,27,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,42,office_word_mcp_server_api_delete_paragraph,0.439453125,61.81318681318682,0.00390625,0.5494505494505495,27,0.005859375,0.6666666666666666
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,43,office_word_mcp_server_api_get_document_info,0.435546875,61.26373626373627,0.001953125,0.27472527472527475,28,0.005859375,0.3333333333333333
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,44,railway_tools_project_delete,0.43359375,60.98901098901099,0.001953125,0.27472527472527475,29,0.005859375,0.3333333333333333
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,45,railway_tools_service_restart,0.431640625,60.71428571428571,0.00390625,0.5494505494505495,30,0.005859375,0.6666666666666666
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,46,railway_tools_service_create_from_repo,0.427734375,60.16483516483516,0.0,0.0,31,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,47,carrot_mcp_server_api_hr_dashboard_summary,0.427734375,60.16483516483516,0.00390625,0.5494505494505495,31,0.005859375,0.6666666666666666
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,48,railway_tools_service_info,0.423828125,59.61538461538461,0.0,0.0,32,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,49,supabase_mcp_insert_table_data,0.423828125,59.61538461538461,0.00390625,0.5494505494505495,32,0.0048828125,0.8
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,50,github_mcp_server_create_or_update_file,0.419921875,59.065934065934066,0.0,0.0,33,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,51,project_management_tools_create_team,0.419921875,59.065934065934066,0.001953125,0.27472527472527475,33,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,52,railway_tools_database_list_types,0.41796875,58.791208791208796,0.0,0.0,34,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,53,carrot_mcp_server_api_log_hours_entry,0.41796875,58.791208791208796,0.0,0.0,34,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,54,carrot_mcp_server_api_update_leave_application,0.41796875,58.791208791208796,0.0,0.0,34,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,55,office_word_mcp_server_api_merge_doucments,0.41796875,58.791208791208796,0.0,0.0,34,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,56,project_management_tools_list_work_items,0.41796875,58.791208791208796,0.001953125,0.27472527472527475,34,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,57,supabase_mcp_update_database_table_data,0.416015625,58.51648351648352,0.0,0.0,35,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,58,project_management_tools_create_work_item,0.416015625,58.51648351648352,0.00390625,0.5494505494505495,35,0.00390625,1.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,59,quest_studio_file_storage_get_storage_usage,0.412109375,57.96703296703297,0.001953125,0.27472527472527475,36,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,60,project_management_tools_create_sprint,0.41015625,57.692307692307686,0.001953125,0.27472527472527475,37,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,61,project_management_tools_list_sprints,0.408203125,57.417582417582416,0.0,0.0,38,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,62,github_mcp_server_create_repository,0.408203125,57.417582417582416,0.0,0.0,38,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,63,quest_studio_file_storage_get_file_content,0.408203125,57.417582417582416,0.001953125,0.27472527472527475,38,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,64,github_mcp_server_pull_request_read,0.40625,57.14285714285714,0.001953125,0.27472527472527475,39,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,65,railway_tools_service_update,0.404296875,56.86813186813187,0.0,0.0,40,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,66,quest_studio_file_storage_delete_file,0.404296875,56.86813186813187,0.0,0.0,40,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,67,supabase_mcp_check_database_health,0.404296875,56.86813186813187,0.001953125,0.27472527472527475,40,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,68,railway_tools_service_create_from_image,0.40234375,56.59340659340659,0.001953125,0.27472527472527475,41,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,69,project_management_tools_get_team,0.400390625,56.31868131868132,0.0,0.0,42,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,70,railway_tools_service_delete,0.400390625,56.31868131868132,0.001953125,0.27472527472527475,42,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,71,office_word_mcp_server_api_list_files,0.3984375,56.043956043956044,0.001953125,0.27472527472527475,43,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,72,github_mcp_server_get_commit,0.396484375,55.769230769230774,0.0,0.0,44,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,73,github_mcp_server_create_pull_request,0.396484375,55.769230769230774,0.0,0.0,44,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,74,web_search_tools_web_search,0.396484375,55.769230769230774,0.001953125,0.27472527472527475,44,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,75,project_management_tools_list_team_members,0.39453125,55.494505494505496,0.001953125,0.27472527472527475,45,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,76,carrot_mcp_server_api_list_leave_application,0.392578125,55.219780219780226,0.0,0.0,46,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,77,project_management_tools_view_board,0.392578125,55.219780219780226,0.0,0.0,46,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,78,project_management_tools_list_teams,0.392578125,55.219780219780226,0.0,0.0,46,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,79,project_management_tools_delete_team,0.392578125,55.219780219780226,0.001953125,0.27472527472527475,46,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,80,project_management_tools_get_sprint,0.390625,54.94505494505495,0.0,0.0,47,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,81,carrot_mcp_server_api_work_hours_summary,0.390625,54.94505494505495,0.0,0.0,47,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,82,project_management_tools_assign_work_item,0.390625,54.94505494505495,0.001953125,0.27472527472527475,47,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,83,project_management_tools_add_work_item_comment,0.388671875,54.670329670329664,0.001953125,0.27472527472527475,48,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,84,github_mcp_server_get_me,0.38671875,54.395604395604394,0.0,0.0,49,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,85,github_mcp_server_search_repositories,0.38671875,54.395604395604394,0.0,0.0,49,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,86,github_mcp_server_list_commits,0.38671875,54.395604395604394,0.001953125,0.27472527472527475,49,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,87,github_mcp_server_create_branch,0.384765625,54.12087912087912,0.0,0.0,50,,
